dataset,epoch,loss,roc_auc,f1,recall,precision,accuracy,confusion_matrix,time
val,9,0.44514436905200666,0.8849011445795144,0.7700892857142857,0.6795797767564018,0.8884120171673819,0.8127840048470161,"[[1648  130]
 [ 488 1035]]",0 days 00:00:01.447520
train,10,0.37447979661726183,0.9080453986506111,0.8350246448245868,0.8160952111079626,0.8548530721282279,0.8522461698260192,"[[3684  489]
 [ 649 2880]]",0 days 00:00:02.736295
val,10,0.4036834927705618,0.8947953649588941,0.8155668358714044,0.7912015758371634,0.8414804469273743,0.8348985156013329,"[[1551  227]
 [ 318 1205]]",0 days 00:00:01.252879
train,11,0.3688840375792596,0.9108926435218865,0.8373493975903614,0.8271465004250496,0.8478071449317456,0.8527655154505324,"[[3649  524]
 [ 610 2919]]",0 days 00:00:02.590892
val,11,0.3966730764278999,0.8971200497508396,0.8156729131175469,0.7859487852921865,0.8477337110481586,0.8361102696152681,"[[1563  215]
 [ 326 1197]]",0 days 00:00:01.274202
train,12,0.3666150002710281,0.9141868033018261,0.8426205903527718,0.8291300651742703,0.8565573770491803,0.8580888081017918,"[[3683  490]
 [ 603 2926]]",0 days 00:00:02.480825
val,12,0.3887796585376446,0.9036891769027886,0.8261997405966277,0.8365068942875903,0.8161434977578476,0.8376249621326871,"[[1491  287]
 [ 249 1274]]",0 days 00:00:01.146415
train,13,0.3504367614946058,0.9197670773068745,0.8475783475783476,0.8430150184188155,0.852191349183615,0.8610750454427422,"[[3657  516]
 [ 554 2975]]",0 days 00:00:02.390040
val,13,0.391291455580638,0.9108528620396514,0.8347286821705426,0.8837820091923835,0.790834312573443,0.8385337776431384,"[[1422  356]
 [ 177 1346]]",0 days 00:00:01.129219
train,14,0.34430436453511637,0.9220100380830036,0.850210378681627,0.8588835364125814,0.8417106359344626,0.8613347182549987,"[[3603  570]
 [ 498 3031]]",0 days 00:00:02.381179
val,14,0.4094620943069458,0.9043441139128785,0.8040345821325648,0.7327642810242941,0.8906624102154829,0.8352014541048167,"[[1641  137]
 [ 407 1116]]",0 days 00:00:01.126423
train,15,0.33639326980037076,0.9256723093451085,0.8602180994193457,0.8605837347690564,0.8598527746319365,0.8718514671513893,"[[3678  495]
 [ 492 3037]]",0 days 00:00:02.387375
val,15,0.37034512941653913,0.9140132516265408,0.8342059336823735,0.7846355876559422,0.8904619970193741,0.8561042108451984,"[[1631  147]
 [ 328 1195]]",0 days 00:00:01.143202
train,16,0.32082195580005646,0.9298340198160909,0.8655558747486355,0.8537829413431567,0.8776580250509758,0.8784731238639314,"[[3753  420]
 [ 516 3013]]",0 days 00:00:02.401051
val,16,0.3436686878020947,0.9243360338329344,0.8558382257012394,0.8614576493762311,0.8502916396629941,0.8661011814601636,"[[1547  231]
 [ 211 1312]]",0 days 00:00:01.143724
train,17,0.31769631082011807,0.9350762980818887,0.867655447803765,0.8620005667327855,0.8733850129198967,0.8795118151129576,"[[3732  441]
 [ 487 3042]]",0 days 00:00:02.385210
val,17,0.34680424745266253,0.9286463945782222,0.8438162544169612,0.7839789888378201,0.9135424636572304,0.8661011814601636,"[[1665  113]
 [ 329 1194]]",0 days 00:00:01.115614
train,18,0.3039477852083022,0.9414648080058579,0.8764141486467134,0.8671011618022103,0.8859293572669369,0.8879511815112958,"[[3779  394]
 [ 469 3060]]",0 days 00:00:02.353635
